Didn't find Card
date,team,opponent,location,result,overtimes,points,opp_points,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,steals,blocks,fouls,disqualifications,technical_fouls,opp_field_goals_made,opp_field_goals_attempted,opp_three_point_field_goals_made,opp_three_point_field_goals_attempted,opp_free_throws_made,opp_free_throws_attempted,opp_offensive_rebounds,opp_defensive_rebounds,opp_rebounds,opp_assists,opp_turnovers,opp_steals,opp_blocks,opp_fouls,opp_disqualifications,opp_technical_fouls
11/04/2024,Abilene Christian,Howard Payne,home,W,0,107,74,42,73,3,13,20,33,25,51,76,16,33,9,4,21,0,0,24,80,7,41,19,25,9,12,21,8,14,20,0,24,2,0
11/09/2024,Abilene Christian,Middle Tenn.,home,L,0,56,79,19,49,2,14,16,25,9,22,31,9,19,8,5,15,0,1,31,60,6,17,11,14,10,25,35,13,15,14,4,21,0,1
11/12/2024,Abilene Christian,McMurry,home,W,0,101,55,41,74,13,30,6,8,11,34,45,23,9,14,4,14,0,0,16,55,5,27,18,23,9,24,33,7,20,5,1,12,0,0
11/16/2024,Abilene Christian,Texas St.,home,W,0,72,60,24,49,8,13,16,22,9,24,33,14,20,11,4,32,2,0,15,37,3,8,27,38,4,20,24,6,17,8,3,20,1,0
11/20/2024,Abilene Christian,Kennesaw St.,away,L,0,78,84,27,59,5,15,19,30,7,15,22,16,7,13,2,25,2,0,22,41,7,16,33,41,7,28,35,13,19,3,3,20,0,0
11/25/2024,Abilene Christian,Southern Miss.,neutral,W,0,82,74,24,47,3,9,31,40,12,23,35,12,12,8,2,24,1,0,23,49,9,16,19,32,9,15,24,14,12,4,2,26,2,0
11/26/2024,Abilene Christian,Montana St.,away,L,0,59,85,24,58,3,18,8,12,7,15,22,11,8,6,2,12,0,0,29,50,17,26,10,13,5,27,32,20,13,4,4,15,0,0
11/30/2024,Abilene Christian,Omaha,away,W,0,71,55,26,54,4,13,15,19,7,24,31,11,10,11,2,18,0,0,16,44,5,16,18,24,5,22,27,7,16,5,2,15,0,0
12/04/2024,Abilene Christian,New Mexico St.,away,W,0,78,70,23,45,7,16,25,35,8,21,29,9,11,9,1,24,2,0,22,50,7,21,19,29,8,17,25,9,12,4,2,25,0,0
12/09/2024,Abilene Christian,Baylor,away,L,0,57,88,19,55,2,14,17,23,10,18,28,10,10,6,3,15,0,0,35,59,8,18,10,16,10,27,37,15,9,5,1,17,0,0
12/14/2024,Abilene Christian,Hardin-Simmons,home,W,0,93,62,34,67,11,28,14,19,16,23,39,20,9,17,2,13,0,0,21,54,11,25,9,14,12,20,32,15,21,5,6,18,0,0
12/18/2024,Abilene Christian,East Texas A&M,away,L,0,67,68,26,57,4,18,11,14,8,18,26,19,16,9,2,25,1,0,20,42,2,10,26,37,6,22,28,13,18,11,3,15,0,1
12/21/2024,Abilene Christian,Texas Southern,home,W,0,69,65,28,66,3,21,10,15,15,26,41,16,19,10,5,17,0,0,23,55,5,14,14,19,10,27,37,9,24,11,3,15,1,0
12/28/2024,Abilene Christian,Texas A&M,away,L,0,54,92,19,52,5,14,11,13,10,10,20,10,21,8,0,21,0,0,31,53,8,20,22,30,16,25,41,22,18,15,7,13,0,0
12/31/2024,Abilene Christian,SFA,home,L,0,57,62,19,51,0,11,19,34,9,17,26,12,14,13,4,24,2,0,20,49,3,20,19,31,10,27,37,7,22,9,5,23,0,0
01/04/2025,Abilene Christian,Utah Valley,away,L,0,53,64,19,59,1,10,14,22,15,26,41,13,19,10,5,25,1,1,23,49,1,9,17,26,7,29,36,17,17,9,10,19,0,1
01/11/2025,Abilene Christian,Seattle U,away,L,0,64,66,28,58,5,15,3,7,11,22,33,14,14,9,4,20,0,0,21,50,4,20,20,29,12,21,33,16,14,11,5,14,0,0
01/16/2025,Abilene Christian,Grand Canyon,away,L,0,58,88,18,57,6,14,16,20,14,21,35,11,19,9,2,21,0,0,30,56,8,16,20,30,10,28,38,17,13,14,9,12,0,0
01/18/2025,Abilene Christian,California Baptist,home,L,0,54,60,19,55,4,14,12,21,8,21,29,7,10,11,2,17,0,0,20,49,4,17,16,21,10,35,45,5,17,4,2,16,1,0
01/23/2025,Abilene Christian,Tarleton St.,home,W,0,67,56,23,44,2,12,19,22,9,26,35,12,25,8,5,22,0,0,12,44,3,19,29,32,6,14,20,4,19,16,2,18,1,0
01/25/2025,Abilene Christian,UT Arlington,home,L,1,76,79,31,71,9,20,5,7,15,22,37,13,12,11,1,22,2,0,27,52,9,20,16,25,8,27,35,16,15,7,6,9,0,0
01/30/2025,Abilene Christian,California Baptist,away,L,0,60,83,21,48,3,10,15,23,10,18,28,7,16,6,1,14,0,0,29,56,8,22,17,20,11,23,34,11,12,6,5,18,0,0
02/06/2025,Abilene Christian,Utah Tech,away,W,0,86,72,29,56,7,15,21,25,6,24,30,13,10,14,2,19,0,0,27,54,6,20,12,18,8,23,31,18,19,6,5,22,0,0
02/08/2025,Abilene Christian,Southern Utah,away,W,0,84,70,31,56,5,9,17,23,3,21,24,12,10,18,2,24,0,2,22,52,7,17,19,29,15,26,41,13,22,3,9,21,0,0
02/13/2025,Abilene Christian,Seattle U,home,W,0,75,59,25,53,6,19,19,23,7,29,36,12,15,13,1,27,1,0,20,53,2,17,17,33,11,24,35,7,15,10,3,19,0,0
02/20/2025,Abilene Christian,Southern Utah,home,W,0,75,59,28,66,3,12,16,24,17,16,33,9,11,19,4,21,0,0,20,51,1,12,18,23,17,24,41,9,27,8,2,19,0,0
02/22/2025,Abilene Christian,Utah Tech,home,W,0,80,72,30,59,3,11,17,23,11,22,33,16,12,12,2,21,1,2,22,54,8,22,20,27,14,21,35,9,20,5,6,19,0,0
02/27/2025,Abilene Christian,Tarleton St.,away,L,0,52,67,21,48,4,15,6,13,5,18,23,15,19,4,4,20,0,1,25,55,2,8,15,21,12,25,37,17,16,6,6,11,0,0
03/01/2025,Abilene Christian,UT Arlington,away,W,0,70,59,23,58,5,17,19,21,14,26,40,15,14,7,4,18,2,0,24,58,5,25,6,14,11,22,33,13,16,4,6,17,0,0
03/06/2025,Abilene Christian,Utah Valley,home,L,0,60,73,24,71,4,14,8,13,15,21,36,12,11,8,5,26,2,1,25,54,3,12,20,32,14,35,49,7,19,5,6,13,0,1
03/08/2025,Abilene Christian,Grand Canyon,home,W,1,82,81,29,64,5,11,19,20,14,28,42,17,24,12,4,26,2,0,30,65,4,13,17,26,12,22,34,12,19,12,8,22,1,0
03/13/2025,Abilene Christian,Seattle U,neutral,L,0,63,69,25,66,1,18,12,17,18,24,42,15,17,8,4,27,1,0,22,47,3,13,22,34,6,26,32,15,17,10,7,20,1,0
11/04/2024,American,La Salle,away,L,0,52,65,20,55,9,31,3,8,9,22,31,13,10,3,3,16,1,0,23,55,5,16,14,18,12,28,40,7,7,5,3,14,0,0
11/10/2024,American,Harvard,home,W,0,67,55,22,50,9,24,14,17,5,27,32,13,11,6,3,21,0,0,20,52,5,21,10,15,7,25,32,10,11,5,2,17,0,0
11/12/2024,American,Siena,away,L,0,66,74,24,55,9,18,9,12,9,15,24,11,8,7,2,21,0,0,26,47,4,9,18,25,10,24,34,11,10,7,9,13,0,0
11/15/2024,American,North Carolina,away,L,0,55,107,19,61,7,31,10,11,7,16,23,6,13,3,1,23,0,0,36,61,7,22,28,34,10,36,46,16,9,8,4,15,0,0
11/18/2024,American,High Point,away,L,0,73,80,29,52,7,22,8,12,12,14,26,13,11,1,1,22,0,0,29,51,6,14,16,21,9,13,22,10,8,3,1,17,0,0
11/22/2024,American,Kansas City,neutral,W,0,64,60,18,43,3,20,25,27,8,23,31,5,20,8,1,19,1,1,17,49,10,24,16,19,7,18,25,9,15,8,0,22,0,1
