date,team,opponent,location,result,overtimes,points,opp_points,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,steals,blocks,fouls,disqualifications,technical_fouls,opp_field_goals_made,opp_field_goals_attempted,opp_three_point_field_goals_made,opp_three_point_field_goals_attempted,opp_free_throws_made,opp_free_throws_attempted,opp_offensive_rebounds,opp_defensive_rebounds,opp_rebounds,opp_assists,opp_turnovers,opp_steals,opp_blocks,opp_fouls,opp_disqualifications,opp_technical_fouls
11/06/2023,Abilene Christian,Oklahoma St.,away,W,0,64,59,26,57,5,18,7,11,8,27,35,13,15,4,1,18,0,0,23,56,5,23,8,20,9,26,35,13,13,9,2,16,0,0
11/10/2023,Abilene Christian,NC State,away,L,0,64,84,20,57,5,17,19,27,16,20,36,12,11,4,3,19,0,0,29,62,6,22,20,24,14,25,39,12,8,4,3,20,0,0
11/14/2023,Abilene Christian,Prairie View,home,L,0,74,79,23,60,5,19,23,29,14,21,35,9,14,8,1,25,2,0,21,49,4,10,33,34,8,27,35,7,15,8,5,23,1,0
11/17/2023,Abilene Christian,San Jose St.,neutral,W,0,77,71,25,59,7,15,20,26,11,22,33,13,6,1,3,14,0,0,28,61,8,25,7,12,12,26,38,13,7,4,3,18,0,0
11/19/2023,Abilene Christian,Fordham,neutral,W,0,59,45,22,55,3,12,12,17,6,25,31,9,10,11,1,19,0,0,16,54,1,12,12,21,17,29,46,3,19,5,3,16,0,0
11/20/2023,Abilene Christian,Missouri St.,neutral,L,0,69,87,25,59,7,16,12,19,7,17,24,12,12,11,2,22,1,0,30,52,7,18,20,27,9,31,40,16,16,5,3,18,0,0
11/29/2023,Abilene Christian,UT Arlington,away,L,0,71,86,25,55,8,17,13,19,6,19,25,20,15,11,1,22,0,0,27,47,12,22,20,28,5,26,31,25,18,9,4,18,0,0
12/02/2023,Abilene Christian,SFA,home,L,1,74,79,21,55,4,17,28,35,4,25,29,9,22,15,2,24,2,1,26,57,8,22,19,29,12,34,46,8,29,8,5,26,1,1
12/06/2023,Abilene Christian,Northern Ariz.,home,L,0,76,78,23,60,5,19,25,31,9,19,28,9,10,12,1,18,1,0,28,57,6,18,16,20,12,32,44,13,21,5,4,26,2,0
12/10/2023,Abilene Christian,Howard Payne,home,W,0,120,69,46,76,8,25,20,32,17,43,60,32,17,8,0,24,0,0,24,66,8,25,13,25,6,18,24,9,18,9,1,23,0,0
