date,team,opponent,location,result,overtimes,points,opp_points,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,steals,blocks,fouls,disqualifications,technical_fouls,opp_field_goals_made,opp_field_goals_attempted,opp_three_point_field_goals_made,opp_three_point_field_goals_attempted,opp_free_throws_made,opp_free_throws_attempted,opp_offensive_rebounds,opp_defensive_rebounds,opp_rebounds,opp_assists,opp_turnovers,opp_steals,opp_blocks,opp_fouls,opp_disqualifications,opp_technical_fouls
11/09/2022,Abilene Christian,Howard Payne,home,W,0,89,37,86,5,40,12,16,89,31,57,18,8,16,6,19,1,0,0,47,2,13,13,20,37,25,33,2,24,1,0,18,1,0,0
11/13/2022,Abilene Christian,Rice,away,L,0,69,85,56,6,24,7,12,69,21,29,18,20,6,4,27,1,2,0,64,9,19,16,27,85,23,45,12,21,9,2,20,1,0,0
11/16/2022,Abilene Christian,Southwest (NM),home,W,0,77,36,63,7,26,16,24,77,40,53,14,16,11,3,18,1,0,0,57,5,14,7,12,36,27,33,6,20,4,2,19,1,0,0
11/20/2022,Abilene Christian,UTSA,away,L,0,70,76,56,6,23,12,17,70,24,33,16,17,6,4,19,1,0,0,68,5,21,9,12,76,23,36,13,12,10,2,21,1,1,0
11/25/2022,Abilene Christian,Montana St.,neutral,W,0,66,61,57,10,32,8,12,66,34,44,11,14,2,1,16,1,0,0,61,5,28,12,18,61,25,34,5,9,7,4,19,1,1,0
11/27/2022,Abilene Christian,Louisiana,neutral,L,0,38,54,46,3,20,9,12,38,27,40,5,23,3,3,11,1,0,0,61,5,15,5,7,54,22,35,10,11,11,6,17,1,0,0
12/02/2022,Abilene Christian,Alabama St.,home,W,0,78,67,60,13,28,9,13,78,26,35,16,12,5,6,14,1,1,0,60,6,19,7,13,67,24,32,20,11,6,3,18,1,1,0
12/07/2022,Abilene Christian,New Mexico,away,L,0,61,71,58,6,19,9,12,61,27,37,11,15,6,2,17,1,0,0,57,7,21,14,19,71,27,34,16,9,9,8,14,1,0,0
12/11/2022,Abilene Christian,Oral Roberts,away,L,0,81,87,76,10,30,5,8,81,19,37,15,13,9,2,19,1,0,0,58,8,23,19,21,87,24,33,16,16,10,5,14,1,0,0
12/19/2022,Abilene Christian,Nicholls,home,W,0,76,36,62,11,30,3,7,76,33,47,15,17,7,5,11,1,0,0,53,2,14,10,12,36,18,26,4,15,7,0,12,1,0,0
12/21/2022,Abilene Christian,McMurry,home,W,0,82,52,69,10,35,10,14,82,25,44,18,14,9,4,19,1,0,0,40,4,10,18,24,52,20,23,10,22,7,0,16,1,0,0
12/29/2022,Abilene Christian,Tarleton St.,away,W,0,61,43,58,4,13,9,12,61,26,42,13,17,13,6,16,1,0,0,56,2,17,9,10,43,19,33,8,19,11,8,15,1,0,0
12/31/2022,Abilene Christian,SFA,away,L,0,78,83,60,11,27,15,23,78,13,22,15,15,13,2,18,1,0,0,52,8,11,19,23,83,29,42,17,23,12,5,21,1,1,0
01/05/2023,Abilene Christian,Sam Houston,home,L,0,66,69,51,2,13,12,19,66,19,25,10,15,8,2,19,1,1,0,51,3,9,16,19,69,23,31,8,19,8,1,21,1,0,0
01/07/2023,Abilene Christian,UT Arlington,home,W,0,92,72,71,14,35,8,13,92,22,38,18,15,11,4,27,1,1,0,61,0,10,20,31,72,22,40,6,21,8,3,17,1,0,0
01/11/2023,Abilene Christian,Utah Tech,away,L,0,74,85,60,11,34,7,12,74,21,29,18,13,1,1,15,1,0,0,61,11,20,8,11,85,25,31,18,11,7,0,18,1,1,0
